epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.947,1.76875,1.90917,1.61694,0.73488,0.57554,0.66816,0.3076,1.73796,1.65749,1.74169,0.0670184,0.000333147,0.000333147
2,1216.98,1.65134,1.50508,1.51806,0.80934,0.68504,0.78098,0.39405,1.58099,1.57485,1.62491,0.0340019,0.000649985,0.000649985
3,1711.47,1.61381,1.39014,1.49486,0.8501,0.71015,0.81587,0.43119,1.53899,1.25112,1.59264,0.000968914,0.000950323,0.000950323
4,2162.54,1.58893,1.32312,1.46968,0.84589,0.69489,0.80783,0.43656,1.49083,1.23988,1.56449,0.00092575,0.00092575,0.00092575
5,2612.2,1.56436,1.26853,1.45103,0.85919,0.75511,0.85653,0.46341,1.50157,1.1055,1.55974,0.000901,0.000901,0.000901
6,3061.77,1.54955,1.21809,1.43783,0.86965,0.77269,0.8653,0.47477,1.47883,1.08007,1.53894,0.00087625,0.00087625,0.00087625
7,3511.15,1.5254,1.18047,1.42672,0.86234,0.76234,0.85639,0.46597,1.50653,1.07674,1.55726,0.0008515,0.0008515,0.0008515
8,3959.89,1.52117,1.16041,1.42275,0.88495,0.79587,0.8827,0.48648,1.47267,1.01307,1.53479,0.00082675,0.00082675,0.00082675
9,4408.2,1.50926,1.1286,1.41158,0.87293,0.79558,0.88168,0.49295,1.45416,1.00778,1.52281,0.000802,0.000802,0.000802
10,4857.24,1.49365,1.11013,1.40146,0.87685,0.7963,0.8861,0.49931,1.45213,0.98236,1.51838,0.00077725,0.00077725,0.00077725
11,5305.92,1.48073,1.0876,1.39662,0.884,0.80453,0.89295,0.50526,1.43776,0.95313,1.50594,0.0007525,0.0007525,0.0007525
12,5759.1,1.48018,1.08281,1.3946,0.87737,0.81176,0.89367,0.50416,1.44173,0.94495,1.51147,0.00072775,0.00072775,0.00072775
13,6212.64,1.47353,1.06298,1.38871,0.8846,0.82916,0.90391,0.51232,1.43156,0.91446,1.50259,0.000703,0.000703,0.000703
14,6663.04,1.46779,1.05147,1.38436,0.89062,0.81618,0.90417,0.51635,1.43602,0.8964,1.49957,0.00067825,0.00067825,0.00067825
15,7111.3,1.45844,1.03855,1.37454,0.88823,0.8254,0.90408,0.5183,1.41745,0.90824,1.49215,0.0006535,0.0006535,0.0006535
16,7571.76,1.45253,1.02433,1.37636,0.88812,0.8351,0.90999,0.5183,1.42897,0.89746,1.49813,0.00062875,0.00062875,0.00062875
17,8083.69,1.43789,1.00367,1.36344,0.88877,0.83377,0.90949,0.52216,1.42488,0.87352,1.49625,0.000604,0.000604,0.000604
18,8602.99,1.44345,1.00725,1.36961,0.89144,0.83758,0.91176,0.52307,1.4251,0.87074,1.49076,0.00057925,0.00057925,0.00057925
19,9137.25,1.43699,0.99764,1.3651,0.89426,0.83568,0.91446,0.52464,1.42382,0.85088,1.49123,0.0005545,0.0005545,0.0005545
20,9655.21,1.42458,0.9755,1.35651,0.89216,0.83715,0.91363,0.52469,1.42971,0.84686,1.49693,0.00052975,0.00052975,0.00052975
21,10160.6,1.41392,0.96729,1.35315,0.89471,0.84176,0.91601,0.5258,1.42513,0.83232,1.49713,0.000505,0.000505,0.000505
