epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,10664.5,1.4038,0.95335,1.34602,0.8882,0.85003,0.91506,0.52906,1.42626,0.83198,1.4959,0.00048025,0.00048025,0.00048025
23,11183.6,1.40811,0.94247,1.3437,0.90588,0.84098,0.91851,0.52881,1.42693,0.82248,1.49476,0.0004555,0.0004555,0.0004555
24,11706.8,1.40192,0.94083,1.34283,0.89214,0.85097,0.91818,0.53212,1.42473,0.81791,1.49317,0.00043075,0.00043075,0.00043075
25,12250.7,1.39245,0.92288,1.3375,0.88678,0.85068,0.91696,0.52968,1.42403,0.82047,1.49165,0.000406,0.000406,0.000406
26,12795.7,1.38815,0.91597,1.32979,0.89709,0.84862,0.91887,0.53275,1.4205,0.81498,1.48927,0.00038125,0.00038125,0.00038125
27,13321.3,1.38507,0.90539,1.33434,0.89798,0.8445,0.91791,0.53282,1.41967,0.81221,1.48924,0.0003565,0.0003565,0.0003565
28,13816.6,1.38151,0.897,1.32798,0.89775,0.84715,0.91882,0.53286,1.42014,0.80783,1.48899,0.00033175,0.00033175,0.00033175
29,14265,1.37678,0.89118,1.32504,0.89579,0.8566,0.92031,0.5325,1.42233,0.80672,1.49065,0.000307,0.000307,0.000307
30,14715.1,1.36901,0.88975,1.32095,0.89582,0.85332,0.92075,0.5333,1.42441,0.80456,1.49236,0.00028225,0.00028225,0.00028225
31,15175.4,1.33945,0.7797,1.41595,0.89475,0.85457,0.92129,0.53356,1.42487,0.80223,1.49271,0.0002575,0.0002575,0.0002575
32,15633.6,1.32981,0.76801,1.4175,0.89282,0.85215,0.92008,0.5349,1.42578,0.80004,1.49295,0.00023275,0.00023275,0.00023275
33,16095.4,1.32254,0.75427,1.40629,0.89542,0.8542,0.92089,0.53427,1.426,0.79723,1.49329,0.000208,0.000208,0.000208
34,16537,1.31235,0.74398,1.40186,0.88909,0.85774,0.92086,0.53421,1.42738,0.79532,1.49408,0.00018325,0.00018325,0.00018325
35,16977.3,1.30784,0.72789,1.40055,0.89268,0.85335,0.92103,0.53492,1.42836,0.79242,1.49487,0.0001585,0.0001585,0.0001585
36,17415.2,1.29589,0.72316,1.38875,0.8952,0.85121,0.9214,0.53474,1.43032,0.79073,1.49641,0.00013375,0.00013375,0.00013375
37,17852.1,1.28908,0.71386,1.38722,0.89503,0.85211,0.9213,0.53539,1.43205,0.78839,1.49794,0.000109,0.000109,0.000109
38,18272.4,1.28983,0.70993,1.38659,0.89599,0.85509,0.92136,0.53523,1.43358,0.78682,1.4989,8.425e-05,8.425e-05,8.425e-05
39,18700,1.28135,0.70183,1.38264,0.89863,0.85474,0.92149,0.53522,1.43453,0.78433,1.49963,5.95e-05,5.95e-05,5.95e-05
40,19127.6,1.27855,0.69523,1.37754,0.89724,0.85722,0.92215,0.53477,1.43565,0.78277,1.50078,3.475e-05,3.475e-05,3.475e-05
